abap: Abap
abc: Abc
actionscript: ActionScript
ada: Ada
apache_conf: Apache Conf
applescript: AppleScript
asciidoc: AsciiDoc
assembly_x86: Assembly x86
autohotkey: Autohotkey
batchfile: Batch
c9search: c9search
c_cpp: C/C++
cirru: Cirru
clojure: Clojure
cobol: Cobol
coffee: Coffee
coldfusion: ColdFusion
csharp: C#
css: CSS
curly: Curly
d: D
dart: Dart
diff: Diff
django: Django
dockerfile: Dockerfile
dot: Dot
eiffel: Eiffel
ejs: Ejs
elixir: Elixir
elm: Elm
erlang: Erlang
forth: Forth
ftl: Ftl
gcode: GCode
gherkin: Gherkin
gitignore: GitIgnore
glsl: Glsl
golang: Go
groovy: Groovy
haml: Haml
handlebars: Handlebars
haskell: Haskell
haxe: Haxe
html: HTML
html_ruby: ERB
ini: INI
io: IO
jack: Jack
jade: Jade
java: Java
javascript: JavaScript
json: JSON
jsoniq: jsoniq
jsp: JSP
jsx: JSX
julia: Julia
latex: Latex
lean: Lean
less: Less
liquid: Liquid
lisp: Lisp
livescript: LiveScript
logicql: Logicql
lsl: Lsl
lua: Lua
luapage: Luapage
lucene: Lucene
makefile: MakeFile
markdown: Markdown
mask: Mask
matlab: Matlab
maze: Maze
mel: Mel
mipsassembler: Mips Assembler
mushcode: Mushcode
mysql: MySQL
nix: Nix
objectivec: Objective C
ocaml: Ocaml
pascal: Pascal
perl: Perl
pgsql: PgSQL
php: PHP
plain_text: plain text
powershell: PowerShell
praat: Praat
prolog: Prolog
properties: Properties
protobuf: Protobuf
python: Python
r: R
rdoc: RDoc
rhtml: RHtml
ruby: Ruby
rust: Rust
sass: SASS
scad: Scad
scala: Scala
scheme: Scheme
scss: SCSS
sh: SH
sjs: SJS
smarty: Smarty
snippets: Snippets
soy_template: Soy Template
space: Space
sql: SQL
sqlserver: SQLServer
stylus: Stylus
svg: SVG
tcl: TCL
tex: TEX
text: Text
textile: Textile
toml: Toml
twig: Twig
typescript: TypeScript
vala: Vala
vbscript: Visual Basic
velocity: Velocity
verilog: Verilog
vhdl: Vhdl
xml: XML
xquery: XQuery
yaml: Yaml
